Text,Label
I honestly think Gonzaga would beat UK as bad as the women’s team beat Wofford today.,0
Looks like the kinda place China would come in and take over in one day and kill half the population and put the other half in reeducation camps.,0
Now call me sexist but this is the woman's responsibility to advise a bloke on what's socially wise........My wife always points out the bits I missed shaving as we head off down the road... to late to do anything about it!,1
What a fucking prick you are. People need to stop following and feeding this cunt of a man.,0
Hello....m raj....m with good size and excellent stamina ....A passionate pussy licker...Love to lick every holes were womens desire to b licked...DoggyMissionaryWomen on topMy best pose to spank over bed,1
I have no clue..never felt the necessity to look up how many WM kill their women honestly. I'd imagine the numbers would be higher since they're the majority population,1
This catapulted me into a field of memories I thought I'd successfully repressed.,0
"women spend their twenties riding the cock carousel and then ""return to Christ"" and pretend like they aren't whores lmfao",1
As a gold digger,1
Ok but the female body doesn’t need to go so hard in celebrating not being pregnant. Like every single month dude? Chill,1
One thing fasho ima sing to my girl. Have a Whole concert for ya Lil baybee,0
Can’t find shit for the One women’s hoodie.,0
Daddy just loves to spank young women on the bare ass,1
"Omo, that's such a weird thing to say to a potential mentor On the flip side, STEM spaces are notorious for not being women-friendly so I can understand her fears.Still a daft, rude thing to say when you're reaching out to someone for help",0
I hate being pregnant I’m so sick,0
"Middle click pings and other in game, non voice, comm solutions are just a bandaid covering the festering wound which is toxic masculinity in online video game communities. We need to address the root problem! #patriarchy #ToxicMasculinity",1
Mmm beautiful,0
"&gt;all women are good forIt's only the most important thing anyone will ever do in their lifetime.Raising humans is far more important than clocking up sexual partners, drinking until you pass out or working for 40 years to doe alone surrounded by cats.",1
"Ross is the ultimate Beta, the Cuck Prime. Taking Rachel after she done riding the Cock Carousel.*He's hEr LoBsTer?!* - yea f my ass. If you ever think: what should I do? Think: what would Ross do?And dont do that.",1
It's fine. You're a dumb person. Especially for liking a man that says he can grab any woman down there. I bet you like it too huh? You're sick if you'd like to get raped by him.,1
"'s Battle Chasers, Humberto Ramos' Crimson, Empowered and his Dirty Pair adaptations. Fred Perry's Gold Digger from , heck most of Antarctic Press.",0
Y’all be letting women talk to you any kind of way with no punishment? yikes I choke mines or bend them over for a mild spank,1
I hate those ladies who are “ men this men that” like ya shit stinks to we just don’t need to tweet about it every second and if we do ya jump down our throats. There is good and bad in every circle ya need to understand that. I’m not saying the bad ones should get a pass on the,1
"Backlash from the ""grab em by the pussy"" and ""fuck your feelings"" crowd?",1
"Got banned from the little chaps Fakebook for saying Kamala is a Skank , who slept her way into every job she ever had , obviously the truth hurts Suckerburg,",1
A pic of me and my child in celebration of 1k...thank u so much I look ugly so ignore that,0
